Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
TNIE,tonies SE Class A,8.85,EUR,XETR,1.72,1281679793.92,USD,38.7,0.0,-31.4,10.62,51.02,47.01,19.43,8.02,6.37,7.4,0.44,0.33,0.38,8.5,0.78,108.66,1.11,1.26,1.39,2.37
KN,Knowles Corporation,23.78,USD,NYSE,-0.94,2042836856.25,USD,53.25,0.0,46.73,38.53,51.59,16.59,2.46,23.51,18.64,22.46,1.53,1.76,0.69,4.68,7.15,106.71,1.11,1.26,1.28,2.37
WRT1V,Wartsila Oyj Abp,26.94,EUR,OMXHEX,1.47,18193313943.27,USD,28.37,1.66,266.53,33.7,68.9,13.15,5.11,25.57,20.41,25.24,1.52,1.11,0.64,23.78,22.99,115.75,1.12,1.25,1.32,2.37
NGVT,Ingevity Corporation,56.81,USD,NYSE,0.78,2071649651.4,USD,,0.0,-6.85,79.84,75.02,23.45,0.96,55.01,46.04,56.24,1.41,1.79,1.56,-106.83,17.0,178.3,1.18,1.19,1.23,2.37
EIF,Exchange Income Corporation,77.65,CAD,TSX,0.4,2860991754.4,USD,32.37,3.41,137.53,40.67,55.08,17.4,7.64,75.74,60.52,73.48,0.97,0.83,1.13,9.71,8.74,113.16,1.11,1.25,1.28,2.36
AMAT,"Applied Materials, Inc.",229.78,USD,NASDAQ,0.58,183056487742.31,USD,27.4,0.75,272.42,22.96,55.05,23.67,15.42,219.36,174.15,191.22,1.81,1.57,7.79,35.64,32.7,101.68,1.1,1.26,1.32,2.36
BPE,BPER Banca S.p.A.,9.68,EUR,MIL,2.11,21556024766.66,USD,8.86,6.33,722.96,72.57,39.17,24.08,3.05,9.59,7.85,9.31,1.53,1.29,0.3,14.64,5.96,135.82,1.14,1.22,1.23,2.36
IRMD,iRadimed Corporation,79.0,USD,NASDAQ,1.35,1004880132.76,USD,49.0,0.85,254.1,56.44,49.59,43.35,10.61,73.68,60.73,72.39,1.03,0.83,2.35,23.75,26.44,149.38,1.15,1.21,1.3,2.36
DAN,Dana Incorporated,20.11,USD,NYSE,1.31,2637499766.25,USD,,2.02,26.16,94.68,62.18,23.0,0.95,19.31,16.38,19.78,2.08,1.66,0.6,-5.0,5.18,179.85,1.18,1.18,1.23,2.36
NDA,Aurubis AG,109.5,EUR,XETR,0.74,5511650945.09,USD,7.76,1.38,74.53,59.5,42.58,18.44,12.02,109.83,88.35,102.63,0.91,1.43,3.68,13.06,13.85,120.53,1.12,1.24,1.24,2.36
