Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat,perf_sum,perf_norm,MRAT,Diff,score
ALNY,"Alnylam Pharmaceuticals, Inc.",467.55,USD,NASDAQ,2.02,61285989530.0,USD,,0.0,240.23,67.5,84.29,63.26,45.4,410.32,283.36,356.9,0.25,1.19,13.21,-257.82,-5.79,215.05,1.448059687,215.05,1.22,1.45,1.65,2.66
INSM,Insmed Incorporated,132.6,USD,NASDAQ,2.43,28028297964.0,USD,,0.0,388.76,74.13,57.0,100.79,28.84,115.15,81.49,106.74,0.95,0.97,3.7,-160.54,-53.71,231.91,1.413154344,231.91,1.23,1.41,1.63,2.65
HAG,HENSOLDT AG,86.55,EUR,XETR,3.65,11193020108.0,USD,109.85,0.62,655.24,156.22,89.72,7.78,-13.54,88.91,64.58,94.07,0.58,1.04,4.31,11.52,7.95,253.72,1.376755092,253.72,1.25,1.38,1.34,2.63
GLE,SOCIETE GENERALE,57.74,EUR,EURONEXT,-0.21,46275011137.0,USD,9.16,1.9,323.69,171.59,52.79,17.5,15.48,55.97,40.28,52.01,1.59,1.2,1.11,7.47,-0.19,241.88,1.389549607,241.88,1.24,1.39,1.43,2.63
U,Unity Software Inc.,36.28,USD,NYSE,1.23,15328948290.0,USD,,0.0,-51.63,111.92,23.7,70.41,1.34,34.74,24.37,30.59,2.32,2.35,2.27,-13.62,-7.79,206.02,1.425260935,206.02,1.21,1.43,1.49,2.63
APP,Applovin Corporation,418.76,USD,NASDAQ,1.55,141646000000.0,USD,62.21,0.0,498.23,383.61,-7.51,22.54,15.27,408.57,338.51,375.46,2.43,3.78,22.75,240.3,63.6,398.65,1.206973685,398.65,1.4,1.21,1.24,2.61
AU,AngloGold Ashanti PLC,54.83,USD,NYSE,2.07,27608390120.0,USD,23.53,1.69,89.07,71.77,74.95,23.32,8.01,53.3,37.1,49.99,0.47,0.65,1.79,,16.67,170.05,1.436675826,170.05,1.17,1.44,1.48,2.61
RHM,RHEINMETALL AG,1623.5,EUR,XETR,0.93,85543006609.0,USD,89.87,0.52,2001.35,202.44,79.87,-8.28,-8.43,1660.64,1244.29,1730.31,0.57,0.58,66.88,21.91,21.35,274.03,1.334614006,274.03,1.27,1.33,1.3,2.61
NET,"Cloudflare, Inc.",192.77,USD,NYSE,-0.22,67176799787.0,USD,,0.0,376.56,134.14,22.92,24.23,-1.96,201.36,142.26,192.87,1.84,1.82,7.87,-11.04,-5.17,181.3,1.415444399,181.3,1.18,1.42,1.36,2.6
SAAB_B,SAAB AB SER. B,516.9,SEK,OMXSTO,1.55,28175777664.0,USD,53.71,0.36,654.6,118.56,73.75,11.16,-1.34,517.62,371.4,506.28,-0.06,0.52,21.85,14.05,12.12,203.47,1.393714463,203.47,1.2,1.39,1.39,2.6
RR.,ROLLS ROYCE HOLDINGS ORD GBP0.20,1035.5,GBX,LSE,-0.48,117704000000.0,USD,15.16,0.58,1060.12,109.7,69.25,23.3,4.85,1055.34,760.74,995.93,1.63,1.42,26.37,9979.31,16.22,202.26,1.38725657,202.26,1.2,1.39,1.36,2.59
DBK,DEUTSCHE BANK AG NA O.N.,31.65,EUR,XETR,0.29,71298765840.0,USD,10.47,2.17,299.62,119.49,62.86,28.48,20.71,30.18,21.87,27.31,0.99,1.39,0.62,9.5,0.73,210.82,1.379734093,210.82,1.21,1.38,1.45,2.59
IONQ,"IonQ, Inc.",37.17,USD,NYSE,1.03,11033590897.0,USD,,0.0,234.11,409.18,6.78,-11.42,-16.51,40.7,34.47,41.46,3.79,4.33,2.59,-57.06,-40.09,404.54,1.180559174,404.54,1.4,1.18,1.08,2.59
